carrier,date, premium 
PROGRESSIVE,12/3/2014,1277.99
PROGRESSIVE,12/3/2014,1532
PROGRESSIVE,12/3/2014,735
PROGRESSIVE,12/3/2014,876
PROGRESSIVE,12/3/2014,257
PROGRESSIVE,12/3/2014,1432
PROGRESSIVE,12/3/2014,525
METLIFE,12/3/2014,1200
TRAVELERS,12/3/2014,120
TRAVELERS,12/3/2014,691
TRAVELERS,12/3/2014,1469
TRAVELERS,12/3/2014,715
TRAVELERS,12/3/2014,1828
TRAVELERS,12/3/2014,1994
TRAVELERS,12/3/2014,1007
TRAVELERS,12/3/2014,1848
TRAVELERS,12/3/2014,594
TRAVELERS,12/3/2014,1297
TRAVELERS,12/3/2014,2271
TRAVELERS,12/3/2014,1276
TRAVELERS,12/3/2014,2942
TRAVELERS,12/3/2014,1629
TRAVELERS,12/3/2014,774
TRAVELERS,12/3/2014,683
TRAVELERS,12/3/2014,1238
TRAVELERS,12/3/2014,989
TRAVELERS,12/3/2014,1571
TRAVELERS,12/3/2014,1048
TRAVELERS,12/3/2014,1620
TRAVELERS,12/3/2014,531
TRAVELERS,12/3/2014,2124
TRAVELERS,12/3/2014,792
TRAVELERS,12/3/2014,1054
TRAVELERS,12/3/2014,1224
TRAVELERS,12/3/2014,993
TRAVELERS,12/3/2014,1739
TRAVELERS,12/3/2014,711
TRAVELERS,12/3/2014,724
TRAVELERS,12/3/2014,960
TRAVELERS,12/3/2014,1882
METLIFE,12/3/2014,1453
FOREMOST,12/3/2014,636
FOREMOST,12/3/2014,579
FOREMOST,12/3/2014,631
FOREMOST,12/3/2014,813
FOREMOST,12/3/2014,618
FOREMOST,12/3/2014,773
FOREMOST,12/3/2014,669
FOREMOST,12/3/2014,740
FOREMOST,12/3/2014,1610
FOREMOST,12/3/2014,729
FOREMOST,12/3/2014,1257
FOREMOST,12/3/2014,1524
FOREMOST,12/3/2014,665
ASI,12/3/2014,1004
ESURANCE,12/3/2014,652
PLYMOUTH ROCK,12/3/2014,520
PLYMOUTH ROCK,12/3/2014,488
PLYMOUTH ROCK,12/3/2014,621
PLYMOUTH ROCK,12/3/2014,801
PLYMOUTH ROCK,12/3/2014,829
PLYMOUTH ROCK,12/3/2014,639
THE GENERAL,12/3/2014,1587
THE GENERAL,12/3/2014,957
THE GENERAL,12/3/2014,690
THE GENERAL,12/3/2014,558
THE GENERAL,12/3/2014,965
THE GENERAL,12/3/2014,581
THE GENERAL,12/3/2014,383
SAFECO,12/3/2014,380
SAFECO,12/3/2014,866
SAFECO,12/3/2014,179
SAFECO,12/3/2014,120
SAFECO,12/3/2014,886
SAFECO,12/3/2014,449
SAFECO,12/3/2014,258
THE GENERAL,12/3/2014,639
THE GENERAL,12/3/2014,1464
